Date,Rainfall
1962-08-01,304.7764536
1962-09-01,304.6011384
1962-10-01,6.54220897
1962-11-01,14.05312964
1962-12-01,25.42806171
1963-01-01,4.416644573
1963-02-01,0.0
1963-03-01,0.0
1963-04-01,0.0
1963-05-01,0.0
1963-06-01,404.6692513
1963-07-01,788.4036368
1963-08-01,1008.297793
1963-09-01,322.372307
1963-10-01,21.64000738
1963-11-01,5.452298284
1963-12-01,0.0
1964-01-01,0.0
1964-02-01,0.0
1964-03-01,0.0
1964-04-01,0.0
1964-05-01,0.38161549
1964-06-01,629.9473037
1964-07-01,498.5487519
1964-08-01,501.5744933
1964-09-01,264.6159218
1964-10-01,101.6388648
1964-11-01,4.786837697
1964-12-01,0.0
1965-01-01,3.094289064
1965-02-01,0.0
1965-03-01,0.0
1965-04-01,2.027576685
1965-05-01,0.0
1965-06-01,637.0319233
1965-07-01,1045.946669
1965-08-01,393.8412943
1965-09-01,69.52831514
1965-10-01,0.0
1965-11-01,3.218384862
1965-12-01,5.719880581
1966-01-01,0.0
1966-02-01,0.0
1966-03-01,0.0
1966-04-01,0.0
1966-05-01,3.688822746
1966-06-01,306.3905167
1966-07-01,898.1867622
1966-08-01,128.7772654
1966-09-01,224.2851569
1966-10-01,16.68273067
1966-11-01,1.287952304
1966-12-01,0.0
1967-01-01,0.0
1967-02-01,0.0
1967-03-01,0.0
1967-04-01,0.0
1967-05-01,0.0
1967-06-01,763.7414839
1967-07-01,971.618641
1967-08-01,303.402383
1967-09-01,204.0660978
1967-10-01,57.92793465
1967-11-01,0.0
1967-12-01,34.60672069
1968-01-01,0.0
1968-02-01,0.0
1968-03-01,0.0
1968-04-01,0.0
1968-05-01,0.0
1968-06-01,190.3979115
1968-07-01,569.0766874
1968-08-01,140.9086041
1968-09-01,136.6207292
1968-10-01,43.50362098
1968-11-01,1.370682597
1968-12-01,0.0
1969-01-01,0.0
1969-02-01,0.0
1969-03-01,0.0
1969-04-01,0.152298078
1969-05-01,0.0
1969-06-01,482.4498723
1969-07-01,608.9577639
1969-08-01,210.4797438
1969-09-01,379.414229
